FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,Unnamed: 27,llm_delay_minutes,llm_delay_explain
2018-04-08,AS,1136,SFO,PHL,1005,1140.0,95.0,32.0,1212.0,1941.0,7.0,1827,1948.0,81.0,0.0,,0.0,322.0,308.0,269.0,2521.0,81.0,0.0,0.0,0.0,0.0,,822,"Short delayed due to the long distance (over 2500 miles) between SFO and PHL, possible scheduling issues or mechanical delay."
2018-10-27,EV,4064,VPS,IAH,700,655.0,-5.0,15.0,710.0,841.0,6.0,855,847.0,-8.0,0.0,,0.0,115.0,112.0,91.0,528.0,,,,,,,-155,"The flight is slightly departing ahead of schedule, as the scheduled departure time was at 700 minutes past the hour, but it departed at 700 minutes before the hour. This may indicate that the flight arrived early or took off on schedule, hence 155 minutes (2.6 hours) earlier than scheduled."
2018-06-21,WN,2568,DAL,MCO,610,623.0,13.0,16.0,639.0,954.0,14.0,945,1008.0,23.0,0.0,,0.0,155.0,165.0,135.0,973.0,13.0,0.0,10.0,0.0,0.0,,-35,"The flight is delayed by approximately 35 minutes because it departed 5 minutes early, and considering the scheduled arrival time was at 09:45, the actual time to begin landing should have been before that in order to make a potentially more timely landing considering the distance between MCO and DFW. This indicates the flight completed its journey ahead of schedule."
2018-10-20,OO,4568,SAT,MSP,1126,1206.0,40.0,22.0,1228.0,1456.0,7.0,1414,1503.0,49.0,0.0,,0.0,168.0,177.0,148.0,1097.0,0.0,0.0,9.0,0.0,40.0,,-148,The flight is delayed by approximately 2 hours and 52 minutes because it is a small distance and the scheduled arrival time is later than the scheduled departure time.
2018-06-05,YX,4703,DCA,MCI,2000,1952.0,-8.0,26.0,2018.0,2128.0,3.0,2155,2131.0,-24.0,0.0,,0.0,175.0,159.0,130.0,949.0,,,,,,,-155,"The flight is delayed due to mechanical issues with the aircraft. The air carrier, YX, had to wait for a spare part to arrive at its current gate. This delay is expected to be resolved shortly after arrival."
2018-04-03,WN,1486,STL,MSP,2155,2202.0,7.0,5.0,2207.0,2312.0,6.0,2325,2318.0,-7.0,0.0,,0.0,90.0,76.0,65.0,448.0,,,,,,,150,"Flight delay due to potential air traffic congestion at the destination airport, MSP, likely caused by heavy air traffic in the evening hours around departure time."
2018-07-29,AA,1533,LAX,RDU,725,740.0,15.0,14.0,754.0,1547.0,5.0,1516,1552.0,36.0,0.0,,0.0,291.0,312.0,293.0,2239.0,15.0,0.0,21.0,0.0,0.0,,-88,"The flight is departing from LAX at 725 minutes, but the destination airport RDU is already occupied on board with another flight that departs in 10 minutes. The total distance between the airports was not correctly estimated to predict delay."
2018-07-26,9E,3317,GRR,DTW,535,528.0,-7.0,9.0,537.0,603.0,6.0,629,609.0,-20.0,0.0,,0.0,54.0,41.0,26.0,120.0,,,,,,,94,"The flight is delayed because it departed 10 minutes later than its scheduled departure time due to operational reasons, resulting in an overall delay of approximately 1 hour and 34 minutes."
2018-07-26,DL,211,JFK,TPA,1925,2034.0,69.0,16.0,2050.0,2305.0,5.0,2242,2310.0,28.0,0.0,,0.0,197.0,156.0,135.0,1005.0,8.0,0.0,0.0,0.0,20.0,,317,"The flight is delayed because of the distance between JFK and TPA, which requires a cruising speed that cannot be achieved during the scheduled departure time. With this specific flight, the crew must consider safety margins over optimal schedules due to operational constraints."
2018-06-20,9E,5236,RIC,DTW,1307,1258.0,-9.0,10.0,1308.0,1424.0,6.0,1449,1430.0,-19.0,0.0,,0.0,102.0,92.0,76.0,456.0,,,,,,,142,"The flight 9E5236 experienced a delay due to possible air traffic control issues or mechanical problems, resulting in an estimated minimum delay of 142 minutes."
